Id,Category
0,2097.6207086602717
1,2035.7019689073197
2,2221.5988105530887
3,2023.1703579078287
4,2499.4174984024194
5,2224.1861936056066
6,2410.3433331724823
7,2509.0492005284964
8,2481.521051270607
9,1917.7740938563143
10,2575.831166859508
11,2220.3531971849857
12,2410.3392943827243
13,2281.4580104982906
14,2483.6863349444143
15,2474.177991681178
16,2380.805661647024
17,2123.8372052875197
18,2462.3950930944648
19,1963.026407119211
20,2431.306420300891
21,2229.6788033362045
22,1977.299536135255
23,2408.378282978172
24,2034.7273025208806
25,2107.7779446107734
26,1873.6169409723375
27,2043.4792380235053
28,2752.849243418564
29,2337.507082468051
30,2140.703253916159
31,1940.5153031141563
32,2181.1687498400383
33,2613.4330055121836
34,2157.2532530961566
35,1599.4590155269545
36,2079.1543671282684
37,1783.490259693859
38,3108.8139710567216
39,2033.8374763814488
40,2186.8311904478346
41,2112.805854124979
42,2042.004571253996
43,2516.1584850099016
44,1983.8009986295936
45,1860.5427612216056
46,1923.7812038378397
47,2041.905718589493
48,2359.4204880608504
49,1964.1348685540793
50,2177.195742288667
51,2653.8928592926027
52,2082.9624571540194
53,2315.659322880062
54,2333.8014659344135
55,2353.705263860561
56,1911.9080747900566
57,1564.7294198220425
58,2240.014657311104
59,2775.8529396809936
60,1476.5414686773947
61,1855.5555339334248
62,1268.0014251192138
63,1667.864459760074
64,2540.4679213175673
65,1968.4598147627523
66,1504.8331521334744
67,2055.9835183027303
68,1999.136066450206
69,1746.1255214238836
70,1886.2864296557323
71,2074.9877769172826
72,1875.3030680226698
73,1446.4676539626635
74,2127.1787499915918
75,1892.9842182969992
76,2430.1191157698936
77,2466.532232071337
78,2232.961194568477
79,2235.865996007119
80,1958.1013430576404
81,1363.2372024757406
82,2661.7820014923846
83,2219.8045146871173
84,1940.458291186202
85,2166.944224019369
86,2424.7837768168597
87,1920.515091613483
88,1951.8761288420874
89,2115.7643019206657
90,1935.6647036143029
91,2360.5589446300046
92,1840.155434632983
93,1899.2147169142902
94,2352.1866067357714
95,1562.2281415705393
96,2446.185061463015
97,1442.339704966176
98,2692.908261194877
99,2636.075661087402
100,2707.711582869283
101,2368.6913120861723
102,2234.603914909875
103,2659.2327255452333
104,2292.6063266834103
105,2251.1726890610485
106,2380.7571942373265
107,2780.7849121368517
108,2803.8987078823407
109,1867.1986444033505
110,2093.094184818117
111,1975.472831475911
112,2466.7908331990307
113,2331.8716123942527
114,2510.7625673108787
115,1660.0224421256776
116,2052.927341937189
117,2413.559891364129
118,2489.658535887056
119,2515.065887736416
120,2110.0552440848264
121,2269.7924981729448
122,2350.3095813376754
123,2646.372900510468
124,2087.9057568184103
125,2421.5284994482286
126,2505.225277009375
127,1964.823220311072
128,2086.786819852
129,2378.976996610432
130,1619.314111239712
131,1929.4315527789795
132,2391.982643124583
133,1900.3779579156198
134,1810.233024544329
135,2410.001301694598
136,1614.8821623259007
137,2635.8525936121687
138,1855.992768738403
139,1496.986783382084
140,2033.7211482933574
141,2241.2715561635227
142,2221.7234761233813
143,2167.573618457874
144,1834.3858673015134
145,2384.410752951413
146,1976.9221282200615
147,2392.519767592206
148,2084.020310114547
149,2294.394245738521
150,2143.1774383386855
151,2314.9302934149637
152,1786.2291471446738
153,2274.5887223172376
154,2991.2957833942437
155,2064.3760225965707
156,2283.5251722011812
157,2573.265138232351
158,2117.1932116404346
159,1703.665702469095
160,2173.837893581488
161,2228.0225382681087
162,1972.4974993146452
163,2553.159216622398
164,1918.0295010086702
165,1931.0342028914747
166,2416.717857125036
167,1720.3068349317286
168,2420.9364256652784
169,2386.0755340619044
170,1554.5866796518276
171,1894.9243666335376
172,2162.67596448581
173,1871.4395310543578
174,2712.843829878011
175,2045.6165662118453
176,1692.597378906683
177,2179.6473157008563
178,2670.7293589031647
179,2808.6327508683694
180,1857.671568002335
181,1944.4523312634542
182,2630.2958210548118
183,1618.6631576451205
184,1349.434383255591
185,1505.2583584955378
186,2524.2666338540944
187,2046.480627422893
188,2164.4813577682976
189,2087.8227452513815
190,2405.9176105413544
191,1682.223621175322
192,2447.9780432457687
193,2509.1083263378555
194,1929.6023428437923
195,1708.1659019417336
196,2056.7760642587255
197,1761.1763009507627
198,1940.0321013519642
199,2229.7346500192534
200,2450.381985538687
201,1678.4164078380072
202,2421.9712355032607
203,1935.9239009544367
204,2036.749913369514
205,2494.5291708058717
206,2333.0546151260596
207,2129.1671527660988
208,2760.6271418560414
209,1344.11234252043
210,2193.8767072702817
211,2660.5866169940323
212,2477.777913957348
213,2229.7661660801064
214,1948.7195499277584
215,1841.4730236859018
216,2103.5397697379094
217,2278.6756255326873
218,2601.956735948421
219,2214.2842830631953
220,2319.497984353868
221,1681.3259310413832
222,2221.7986066025865
223,2234.2385009208433
224,2372.9894860172612
225,2370.0667738453717
226,2118.2408667033433
227,1889.2721498891701
228,2340.1925405403535
229,2206.8929575200987
230,1975.7043702304002
231,1852.1449329302095
232,2345.607205345655
233,3278.393250577146
234,2050.0153300184616
235,2148.9208160171606
236,2335.6786665638665
237,2691.15707243053
238,2098.652624765251
239,2402.047355718084
240,2144.2671330827907
241,1887.062353174005
242,1990.591505071901
243,2283.7569284353976
244,2399.821488710971
245,2325.2245980871944
246,2261.8434596523616
247,2167.684193046442
248,2692.4297623983575
249,1904.1767977678421
250,3012.3528687486514
251,1667.8223395523605
252,2296.9912224006016
253,1988.7107514239883
254,2246.356703481668
255,2015.8658109042317
256,2356.2464645346454
257,1676.8575622481023
258,2432.883496352974
259,2195.1468353703976
